m;exp_den_a_m
1;0
3;3
5;7
7;10
9;15
11;18
13;22
15;25
17;31
19;34
21;38
23;41
25;46
27;49
29;53
31;56
33;63
35;66
37;70
39;73
41;78
43;81
45;85
47;88
49;94
51;97
53;101
55;104
57;109
59;112
61;116
63;119
65;127
67;130
69;134
71;137
73;142
75;145
77;149
79;152
81;158
83;161
85;165
87;168
89;173
91;176
93;180
95;183
97;190
99;193
101;197
103;200
105;205
107;208
109;212
111;215
113;221
115;224
117;228
119;231
121;236
123;239
125;243
127;246
129;255
131;258
133;262
135;265
137;270
139;273
141;277
143;280
145;286
147;289
149;293
151;296
153;301
155;304
157;308
159;311
161;318
163;321
165;325
167;328
169;333
171;336
173;340
175;343
177;349
179;352
181;356
183;359
185;364
187;367
189;371
191;374
193;382
195;385
197;389
199;392
201;397
203;400
205;404
207;407
209;413
211;416
213;420
215;423
217;428
219;431
221;435
223;438
225;445
227;448
229;452
231;455
233;460
235;463
237;467
239;470
241;476
243;479
245;483
247;486
249;491
251;494
253;498
255;501
257;511
259;514
261;518
263;521
265;526
267;529
269;533
271;536
273;542
275;545
277;549
279;552
281;557
283;560
285;564
287;567
289;574
291;577
293;581
295;584
297;589
299;592
301;596
303;599
305;605
307;608
309;612
311;615
313;620
315;623
317;627
319;630
321;638
323;641
325;645
327;648
329;653
331;656
333;660
335;663
337;669
339;672
341;676
343;679
345;684
347;687
349;691
351;694
353;701
355;704
357;708
359;711
361;716
363;719
365;723
367;726
369;732
371;735
373;739
375;742
377;747
379;750
381;754
383;757
385;766
387;769
389;773
391;776
393;781
395;784
397;788
399;791
401;797
403;800
405;804
407;807
409;812
411;815
413;819
415;822
417;829
419;832
421;836
423;839
425;844
427;847
429;851
431;854
433;860
435;863
437;867
439;870
441;875
443;878
445;882
447;885
449;893
451;896
453;900
455;903
457;908
459;911
461;915
463;918
465;924
467;927
469;931
471;934
473;939
475;942
477;946
479;949
481;956
483;959
485;963
487;966
489;971
491;974
493;978
495;981
497;987
499;990
501;994
503;997
505;1002
507;1005
509;1009
511;1012
513;1023
515;1026
517;1030
519;1033
521;1038
523;1041
525;1045
527;1048
529;1054
531;1057
533;1061
535;1064
537;1069
539;1072
541;1076
543;1079
545;1086
547;1089
549;1093
551;1096
553;1101
555;1104
557;1108
559;1111
561;1117
563;1120
565;1124
567;1127
569;1132
571;1135
573;1139
575;1142
577;1150
579;1153
581;1157
583;1160
585;1165
587;1168
589;1172
591;1175
593;1181
595;1184
597;1188
599;1191
601;1196
603;1199
605;1203
607;1206
609;1213
611;1216
613;1220
615;1223
617;1228
619;1231
621;1235
623;1238
625;1244
627;1247
629;1251
631;1254
633;1259
635;1262
637;1266
639;1269
641;1278
643;1281
645;1285
647;1288
649;1293
651;1296
653;1300
655;1303
657;1309
659;1312
661;1316
663;1319
665;1324
667;1327
669;1331
671;1334
673;1341
675;1344
677;1348
679;1351
681;1356
683;1359
685;1363
687;1366
689;1372
691;1375
693;1379
695;1382
697;1387
699;1390
701;1394
703;1397
705;1405
707;1408
709;1412
711;1415
713;1420
715;1423
717;1427
719;1430
721;1436
723;1439
725;1443
727;1446
729;1451
731;1454
733;1458
735;1461
737;1468
739;1471
741;1475
743;1478
745;1483
747;1486
749;1490
751;1493
753;1499
755;1502
757;1506
759;1509
761;1514
763;1517
765;1521
767;1524
769;1534
771;1537
773;1541
775;1544
777;1549
779;1552
781;1556
783;1559
785;1565
787;1568
789;1572
791;1575
793;1580
795;1583
797;1587
799;1590
801;1597
803;1600
805;1604
807;1607
809;1612
811;1615
813;1619
815;1622
817;1628
819;1631
821;1635
823;1638
825;1643
827;1646
829;1650
831;1653
833;1661
835;1664
837;1668
839;1671
841;1676
843;1679
845;1683
847;1686
849;1692
851;1695
853;1699
855;1702
857;1707
859;1710
861;1714
863;1717
865;1724
867;1727
869;1731
871;1734
873;1739
875;1742
877;1746
879;1749
881;1755
883;1758
885;1762
887;1765
889;1770
891;1773
893;1777
895;1780
897;1789
899;1792
901;1796
903;1799
905;1804
907;1807
909;1811
911;1814
913;1820
915;1823
917;1827
919;1830
921;1835
923;1838
925;1842
927;1845
929;1852
931;1855
933;1859
935;1862
937;1867
939;1870
941;1874
943;1877
945;1883
947;1886
949;1890
951;1893
953;1898
955;1901
957;1905
959;1908
961;1916
963;1919
965;1923
967;1926
969;1931
971;1934
973;1938
975;1941
977;1947
979;1950
981;1954
983;1957
985;1962
987;1965
989;1969
991;1972
993;1979
995;1982
997;1986
999;1989
1001;1994
1003;1997
1005;2001
1007;2004
1009;2010
1011;2013
1013;2017
1015;2020
1017;2025
1019;2028
1021;2032
1023;2035
1025;2047
1027;2050
1029;2054
1031;2057
1033;2062
1035;2065
1037;2069
1039;2072
1041;2078
1043;2081
1045;2085
1047;2088
1049;2093
1051;2096
1053;2100
1055;2103
1057;2110
1059;2113
1061;2117
1063;2120
1065;2125
1067;2128
1069;2132
1071;2135
1073;2141
1075;2144
1077;2148
1079;2151
1081;2156
1083;2159
1085;2163
1087;2166
1089;2174
1091;2177
1093;2181
1095;2184
1097;2189
1099;2192
1101;2196
1103;2199
1105;2205
1107;2208
1109;2212
1111;2215
1113;2220
1115;2223
1117;2227
1119;2230
1121;2237
1123;2240
1125;2244
1127;2247
1129;2252
1131;2255
1133;2259
1135;2262
1137;2268
1139;2271
1141;2275
1143;2278
1145;2283
1147;2286
1149;2290
1151;2293
1153;2302
1155;2305
1157;2309
1159;2312
1161;2317
1163;2320
1165;2324
1167;2327
1169;2333
1171;2336
1173;2340
1175;2343
1177;2348
1179;2351
1181;2355
1183;2358
1185;2365
1187;2368
1189;2372
1191;2375
1193;2380
1195;2383
1197;2387
1199;2390
1201;2396
1203;2399
1205;2403
1207;2406
1209;2411
1211;2414
1213;2418
1215;2421
1217;2429
1219;2432
1221;2436
1223;2439
1225;2444
1227;2447
1229;2451
1231;2454
1233;2460
1235;2463
1237;2467
1239;2470
1241;2475
1243;2478
1245;2482
1247;2485
1249;2492
1251;2495
1253;2499
1255;2502
1257;2507
1259;2510
1261;2514
1263;2517
1265;2523
1267;2526
1269;2530
1271;2533
1273;2538
1275;2541
1277;2545
1279;2548
1281;2558
1283;2561
1285;2565
1287;2568
1289;2573
1291;2576
1293;2580
1295;2583
1297;2589
1299;2592
1301;2596
1303;2599
1305;2604
1307;2607
1309;2611
1311;2614
1313;2621
1315;2624
1317;2628
1319;2631
1321;2636
1323;2639
1325;2643
1327;2646
1329;2652
1331;2655
1333;2659
1335;2662
1337;2667
1339;2670
1341;2674
1343;2677
1345;2685
1347;2688
1349;2692
1351;2695
1353;2700
1355;2703
1357;2707
1359;2710
1361;2716
1363;2719
1365;2723
1367;2726
1369;2731
1371;2734
1373;2738
1375;2741
1377;2748
1379;2751
1381;2755
1383;2758
1385;2763
1387;2766
1389;2770
1391;2773
1393;2779
1395;2782
1397;2786
1399;2789
1401;2794
1403;2797
1405;2801
1407;2804
1409;2813
1411;2816
1413;2820
1415;2823
1417;2828
1419;2831
1421;2835
1423;2838
1425;2844
1427;2847
1429;2851
1431;2854
1433;2859
1435;2862
1437;2866
1439;2869
1441;2876
1443;2879
1445;2883
1447;2886
1449;2891
1451;2894
1453;2898
1455;2901
1457;2907
1459;2910
1461;2914
1463;2917
1465;2922
1467;2925
1469;2929
1471;2932
1473;2940
1475;2943
1477;2947
1479;2950
1481;2955
1483;2958
1485;2962
1487;2965
1489;2971
1491;2974
1493;2978
1495;2981
1497;2986
1499;2989
1501;2993
1503;2996
1505;3003
1507;3006
1509;3010
1511;3013
1513;3018
1515;3021
1517;3025
1519;3028
1521;3034
1523;3037
1525;3041
1527;3044
1529;3049
1531;3052
1533;3056
1535;3059
1537;3070
1539;3073
1541;3077
1543;3080
1545;3085
1547;3088
1549;3092
1551;3095
1553;3101
1555;3104
1557;3108
1559;3111
1561;3116
1563;3119
1565;3123
1567;3126
1569;3133
1571;3136
1573;3140
1575;3143
1577;3148
1579;3151
1581;3155
1583;3158
1585;3164
1587;3167
1589;3171
1591;3174
1593;3179
1595;3182
1597;3186
1599;3189
1601;3197
1603;3200
1605;3204
1607;3207
1609;3212
1611;3215
1613;3219
1615;3222
1617;3228
1619;3231
1621;3235
1623;3238
1625;3243
1627;3246
1629;3250
1631;3253
1633;3260
1635;3263
1637;3267
1639;3270
1641;3275
1643;3278
1645;3282
1647;3285
1649;3291
1651;3294
1653;3298
1655;3301
1657;3306
1659;3309
1661;3313
1663;3316
1665;3325
1667;3328
1669;3332
1671;3335
1673;3340
1675;3343
1677;3347
1679;3350
1681;3356
1683;3359
1685;3363
1687;3366
1689;3371
1691;3374
1693;3378
1695;3381
1697;3388
1699;3391
1701;3395
1703;3398
1705;3403
1707;3406
1709;3410
1711;3413
1713;3419
1715;3422
1717;3426
1719;3429
1721;3434
1723;3437
1725;3441
1727;3444
1729;3452
1731;3455
1733;3459
1735;3462
1737;3467
1739;3470
1741;3474
1743;3477
1745;3483
1747;3486
1749;3490
1751;3493
1753;3498
1755;3501
1757;3505
1759;3508
1761;3515
1763;3518
1765;3522
1767;3525
1769;3530
1771;3533
1773;3537
1775;3540
1777;3546
1779;3549
1781;3553
1783;3556
1785;3561
1787;3564
1789;3568
1791;3571
1793;3581
1795;3584
1797;3588
1799;3591
1801;3596
1803;3599
1805;3603
1807;3606
1809;3612
1811;3615
1813;3619
1815;3622
1817;3627
1819;3630
1821;3634
1823;3637
1825;3644
1827;3647
1829;3651
1831;3654
1833;3659
1835;3662
1837;3666
1839;3669
1841;3675
1843;3678
1845;3682
1847;3685
1849;3690
1851;3693
1853;3697
1855;3700
1857;3708
1859;3711
1861;3715
1863;3718
1865;3723
1867;3726
1869;3730
1871;3733
1873;3739
1875;3742
1877;3746
1879;3749
1881;3754
1883;3757
1885;3761
1887;3764
1889;3771
1891;3774
1893;3778
1895;3781
1897;3786
1899;3789
1901;3793
1903;3796
1905;3802
1907;3805
1909;3809
1911;3812
1913;3817
1915;3820
1917;3824
1919;3827
1921;3836
1923;3839
1925;3843
1927;3846
1929;3851
1931;3854
1933;3858
1935;3861
1937;3867
1939;3870
1941;3874
1943;3877
1945;3882
1947;3885
1949;3889
1951;3892
1953;3899
1955;3902
1957;3906
1959;3909
1961;3914
1963;3917
1965;3921
1967;3924
1969;3930
1971;3933
1973;3937
1975;3940
1977;3945
1979;3948
1981;3952
1983;3955
1985;3963
1987;3966
1989;3970
1991;3973
1993;3978
1995;3981
1997;3985
1999;3988
2001;3994
2003;3997
2005;4001
2007;4004
2009;4009
2011;4012
2013;4016
2015;4019
2017;4026
2019;4029
2021;4033
2023;4036
2025;4041
2027;4044
2029;4048
2031;4051
2033;4057
2035;4060
2037;4064
2039;4067
2041;4072
2043;4075
2045;4079
2047;4082
2049;4095
2051;4098
2053;4102
2055;4105
2057;4110
2059;4113
2061;4117
2063;4120
2065;4126
2067;4129
2069;4133
2071;4136
2073;4141
2075;4144
2077;4148
2079;4151
2081;4158
2083;4161
2085;4165
2087;4168
2089;4173
2091;4176
2093;4180
2095;4183
2097;4189
2099;4192
2101;4196
2103;4199
2105;4204
2107;4207
2109;4211
2111;4214
2113;4222
2115;4225
2117;4229
2119;4232
2121;4237
2123;4240
2125;4244
2127;4247
2129;4253
2131;4256
2133;4260
2135;4263
2137;4268
2139;4271
2141;4275
2143;4278
2145;4285
2147;4288
2149;4292
2151;4295
2153;4300
2155;4303
2157;4307
2159;4310
2161;4316
2163;4319
2165;4323
