,degree, numerator, denominator exponent
0,0, 0,0
1,1, 0,0
2,2, 1,1
3,3, 1,3
4,4, 1,2
5,5, 15,7
6,6, 0,0
7,7, 81,10
8,8, 1,3
9,9, 1499,15
10,10, 1,5
11,11, 16551,18
12,12, 0,0
13,13, -19557,22
14,14, 7,8
15,15, 1026129,25
16,16, 1,4
17,17, 78558483,31
18,18, 7,9
19,19, 496067595,34
20,20, 0,0
21,21, -506111055,38
22,22, 135,12
23,23, 66414150615,41
24,24, 0,0
25,25, 402782136143,46
26,26, 683,16
27,27, -7661205650557,49
28,28, 0,0
29,29, 159606082621811,53
30,30, 159,14
31,31, 1420861495703249,56
32,32, 1,5
33,33, 118802466511637251,63
34,34, 6147,20
35,35, 978823547108164723,66
36,36, 7,10
37,37, 11679916854812498869,70
38,38, 136987,23
39,39, 87928513714596704251,73
40,40, 0,0
41,41, 685685840544500583605,78
42,42, 18743,24
43,43, -2561304896468097247047,81
44,44, 7,10
45,45, 254308031775916124767853,85
46,46, 1819603,27
47,47, 4943107346807342553287255,88
48,48, 0,0
49,49, 11638988504780318683252567,94
50,50, 24135251,32
51,51, -285258038118564314943659105,97
52,52, 27,13
53,53, 30706551955803421438150458565,101
54,54, 2251903,30
55,55, -127301503425269897481070012685,104
56,56, 0,0
57,57, -94483418772208582147732123593,109
58,58, -256570541,36
59,59, 21261458586679364444932709138299,112
60,60, 823,17
61,61, 522955452487435445485963489230883,116
62,62, 3779300521,39
63,63, 4286673516199069432178615469250001,119
64,64, 1,6
65,65, 1411511154650766423945929929328180451,127
66,66, 3327911481,40
67,67, 16349082535513108718516727925054803395,130
68,68, 1299,18
69,69, -24406448088489396053752958150176020003,134
70,70, 35938213737,43
71,71, 1181139364600053725217016454620894036835,137
72,72, 0,0
73,73, 3870401104723642638039460627681585115353,142
74,74, 765397572255,47
75,75, -24461841483370662979227581714020805652227,145
76,76, 1815,19
77,77, 6055680540050759250063802225656323047330633,149
78,78, 65240933961,43
79,79, 43933690924655138743786225466011911404814075,152
80,80, 0,0
81,81, 195131893132376706907710731337444933691001117,158
82,82, 7232577005815,51
83,83, -5085132180816166681416692579728057923971037499,161
84,84, 1131,19
85,85, 232104029520651945362894639619738284855472041295,165
86,86, 4797959054467,54
87,87, -1250091796718251228177548909632745713565557657975,168
88,88, 0,0
89,89, 4034925197503385891685924846385826075958469022393,173
90,90, -80473653572993,55
91,91, 533388780742041890201345948986980820005922901182085,176
92,92, 242889,25
93,93, 4552843458305140257654694863164150855016805671801125,180
94,94, 2107391294032923,58
95,95, 82245668504043227298305365361505194402475208571258071,183
96,96, 0,0
97,97, 1519361340978092182212092360631803265323772049596565735,190
98,98, 60136405488332035,64
99,99, 9807483035373102837577819911066790281815199828016114423,193
100,100, 29621,25
101,101, 484538656795743098620895264529982560182179366456206637249,197
102,102, 65333974814985,61
103,103, -3154896386393269822522997206733034412149489464711310125361,200
104,104, 0,0
105,105, 12515207013474865849154006896746317957553091374535380034361,205
106,106, 681345608999782979,68
107,107, 1826619966860453490529473405678123177440304730238516085845165,208
108,108, 822027,28
109,109, 39695630641160621684661473739187748168786730194964848163332225,212
110,110, 4923058089529990717,71
111,111, -228270145869377818662330705120856003563610039227630145470582157,215
112,112, 0,0
113,113, 3548334869843471648244680544799770630090431372462872691598873439,221
114,114, -8373234758275170179,72
115,115, 47657774603362646321537396120407801261375775527797661785683421127,224
116,116, 25003403,33
117,117, -1251409045765987739498385463909140872043221188461069420581145621459,228
118,118, -140448039005979304707,75
119,119, 861568561818709136163556202622325422183689318857094519347863415147,231
120,120, 0,0
121,121, 125648478137595989161949911239876492722820947473127103915251644396039,236
122,122, 2768805792611971448037,79
123,123, 2654492674691792081721555988474399154810782387682489618208443134644331,239
124,124, 5568217,31
125,125, 40042517499198349926751557060509602998609032652950814272760407956859267,243
126,126, 205683155882545169763,77
127,127, 593889272741179843254434810154387697312838975449944139396253242118511569,246
128,128, 1,7
129,129, 216814368771818803861852756124363890659697105313305393330098711371262163107,255
130,130, 33120771127722066571277,83
131,131, 1733743578338975342069692919199736093194696222337447866792194830068757762659,258
132,132, -21051853,34
133,133, -5056969970254186186235611952786812583083589535650578935252827213781951668051,262
134,134, 348448119859297249154509,86
135,135, 206905872429402206599759498741599682123937887891534415983672921497835004704947,265
136,136, 715,19
137,137, 6765976988946679693427551545452757631421047719780851988049900496410586101966145,270
138,138, 330364093921392290478193,87
139,139, 12490312306103163287796606640699726538650627611410703417697458772558567837665189,273
140,140, 107680369,35
141,141, 563497460583726652681960450428401410385887979497928594227123011664641519477829089,277
142,142, 3049825974368494068485077,90
143,143, 5638290906516346871005879402645505835299127132783310047304238522410099985022284131,280
144,144, 0,0
145,145, 6175071271384472846316303756816704532976557080136582187973819374699544792834633985,286
146,146, 32753665473336837992023703,95
147,147, -868629920630383292136939577395807584399458050126590755310180958395803847412677411735,289
148,148, 259298213,41
149,149, 38062076172263348951666476210656954056057486270482500313243887918272181864528291396875,293
150,150, 4782989651172883246327429,93
151,151, -80534508308200788038380064498546756526409678145704427710316643689957184917748536517875,296
152,152, 1573,20
153,153, 3754920802466070925573201339191351362794932813270491582715781700807117170904398705024709,301
154,154, 814779424240756326265207383,99
155,155, 103062121514715098475376853953768606006051620622492909078529265824813144064898981414612929,304
156,156, 3524932421,40
157,157, 1812931453278079479906664077805403490288358588955694578469037717425010408745876073573571249,308
158,158, 19755549897890059746574154621,102
159,159, 10083744416929774189136289725692451667167047254383187722427300535201896020578742739529750651,311
160,160, 0,0
161,161, 343504085139686821377662809697384728524605651583879697062411563256245611706951707043302999661,318
162,162, 7707446455855943361379037389,103
163,163, -907405019780840052861525248693738233684431391669853171785813123095472559886891156730719536579,321
164,164, 29002885333,44
165,165, 103136884242463856187197614120097209997309799353334309496150221276393284946827058083390281926971,325
166,166, -12423040840772660837734936067,106
167,167, -66724528244638610912660411053819918710715334333512303833224004178326856141852976616166294217259,328
168,168, 1547,21
169,169, 27299607431969260382326347689963576617863763570924322356743020983719971265564938804303803096320267,333
170,170, 2150330315567068229637305326599,110
171,171, 327216185029187434954832230970250242348647640164523692832171762634850474050862645758732079567389127,336
172,172, 601829675491,48
173,173, 2301298749327467799644651423126598111037670547318070658063220455545417743115096825407527132087398515,340
174,174, -113487521277088559516510005495,107
175,175, -31529687536066622450879310814556799703384611746343847895943402043995673188187637183033587902137556471,343
176,176, 0,0
177,177, 64121773133079675209471694249846831135478134650236699678898134834732315858410813806100346381057392049,349
178,178, -6015414883800740884465791715553,114
179,179, 12068126360779544625737763395407509897435869501008210076776188004435006154741019997349328019465851612265,352
180,180, 61423849651,49
181,181, -258381827389448612350466970868827099329016099166040416572619046859239243506545179734972831257431094949453,356
182,182, -129327241534347279010539716754093,117
183,183, 1253309621963483740641653533740085271065509750336905752803242419515145368211699577849807579183903979020181,359
184,184, 24937,24
185,185, 55432615821493379790967373151587426494351381437714614673325511523097311002261744806998974963914469891005633,364
186,186, 652311605505834918073928744713647,118
187,187, 715563266385610163367552696362569719148186277226505122607527174782835366282247721543727372633554863321105373,367
188,188, 2327023875111,50
189,189, 4701993423726441010231032823771169423743512156435923998504959173862617057742748394285653757355998750167806869,371
190,190, 9569194648293814903483855759173483,121
191,191, 164907378435065117281580730831653804784725133325703982429828538117309335662590556773992790711310403112689375191,374
192,192, 0,0
193,193, 5242976009738870857143865457110552722908703703142105053497012580708859967569743808641115439697439672706378787335,382
194,194, 598236143956656196357724357365114595,128
195,195, -102315863300953384896710274560388819651248794563410534955463683004402885895688488693041439907605345894450619849689,385
196,196, -661527620399,50
197,197, 3319479461890493189958718658898415696373622673017572691100488979166235570794262235647545394239006399292104148186713,389
198,198, 32673007272783609918163525606881213,124
199,199, 206825636515349498118165511236505388765350535432647904666767851192963667375317958178362755727915832514607805713703,392
200,200, 75021,26
201,201, 265163782480828365954909113941531722337396031960555873557645436873734750949252074340848747471457515700086860650430997,397
202,202, 2571131267553702133286257873167369827,132
203,203, 4181474699699102238093771278882500439379187341768929528617881190231602657804196486282732450740248894736933636506944105,400
204,204, 88744689294373,56
205,205, 65212979579868633747284975476688074663451042459736735025208421034467624382886181206334464544342966211140527640914369445,404
206,206, 10088080633090801167147815907443054085,135
207,207, -700563570543063075901508770234354232055757770056079618668822866680537551672460299952326515407906357221036284889957554225,407
208,208, 0,0
209,209, 4988674645472293997597666571335688304411533422901474181090077515780993939835162429011266439049333223540870899087767360001,413
210,210, -96148478989810853676837101388324191995,136
211,211, 154009766210824012213644026520359264159414509600150531587763894050219654801382626076177487184725518432933807298145886983433,416
212,212, 11664029448139,53
213,213, -2376928415030471098730545801227595420348084256424589767570357590344516242820768119138160082771000307937414385278480466340933,420
214,214, -453911138266393894041623809540053731067,139
215,215, 22796075980329151260806052443846300985205028352514178975099828406046648918530796241718178670084617652917863630438543259567293,423
216,216, 95,18
217,217, 597458976546618169165208346492724023270576621159605431199741898622147686229189337230361842721692799050195141820278536563972029,428
218,218, 38263610097641949385653586051989504170185,143
219,219, 12578537983255663134958714015190855893582801370359451042685542728296762532889856690231065655232963947856360263423387982811896953,431
220,220, 702627255827523,59
221,221, 222842514927893624401008473760401940727953304270620148051925589509081351841499448026207945532486619029620528763733572731939861561,435
222,222, 1183552767345778756180544534672159394025,141
223,223, -1086223248305368176707001757212713537428878246967860655217229367294049468524746635625506107372790967631401264041003144794769624845,438
224,224, 0,0
225,225, 25684372791632686218145522491821639510260954359066497423470588390227579731905333759649575879680523229796014609484148524249503126319,445
226,226, -70585255561585947160197879113337364880879,147
227,227, 399458723579722499191712892799998211698273678197127593943972170100713085865007876683727819622369687526923068050134823664310750299519,448
228,228, 24286293473956659,65
229,229, -6702752102589075312780125462564336455024694450350424566642938893207978194310292750645487607312878597450685771368015983998482100825383,452
230,230, -640185598702271251792065252716770151183223,150
231,231, 34353056679690673517303418909113983229814532545898314259582362435377251993982773845538232194436606565690049502798770680401434379422071,455
232,232, 518431,29
233,233, 5416544002892513473695728616384640845013590583383099509615911557911543599908847425318221615390227006116179399824272380863404356286467457,460
234,234, 3194759213084569066598233628741427170380285,151
235,235, 11458988377751892260061019779686819148311317373329259346396056253654444246147639999754140422452689917770504075759094478072214470698111445,463
236,236, 7391768946430127,63
237,237, -735746741930418035111484341832345532523192066294028586992957241056457027212277296199174213220765603186970827748926610450221864932604543383,467
238,238, -59013608848664191290726847853733040581975183,154
239,239, 2034263016360738890687425457110213442240483892407493537462566337873283192900776375627234040650349713799764025570608413910833931828751130347,470
240,240, 0,0
241,241, -105124992992761393517570937066171371542460511582296619671646040545956931701453684230119241342753410420963150696323926805636742319081660464785,476
242,242, 842890133522119420274887662587099385403840477,159
243,243, -204247238763865160628899204638786070997215938244596335116887656295039868586724842448189863969324852821546162167548847848264653695343629796329,479
244,244, -8332786035453725,62
245,245, -13546131315296523748352958521223340006813573562784487387296323408279740402268534017685682443821698161377912123823972470836324917616400103714819,483
