m;Exponent of a_m
m = 1 mod 2(odd);
1;0
3;3
5;7
7;10
9;15
11;18
13;22
15;25
17;31
19;34
21;38
23;41
25;46
27;49
29;53
31;56
33;63
35;66
37;70
39;73
41;78
43;81
45;85
47;88
49;94
51;97
53;101
55;104
57;109
59;112
61;116
63;119
65;127
67;130
69;134
71;137
73;142
75;145
77;149
79;152
81;158
83;161
85;165
87;168
89;173
91;176
93;180
95;183
97;190
99;193
101;197
103;200
105;205
107;208
109;212
111;215
113;221
115;224
117;228
119;231
121;236
123;239
125;243
127;246
129;255
131;258
133;262
135;265
137;270
139;273
141;277
143;280
145;286
147;289
149;293
151;296
153;301
155;304
157;308
159;311
161;318
163;321
165;325
167;328
169;333
171;336
173;340
175;343
177;349
179;352
181;356
183;359
185;364
187;367
189;371
191;374
193;382
195;385
197;389
199;392
201;397
203;400
205;404
207;407
209;413
211;416
213;420
215;423
217;428
219;431
221;435
223;438
225;445
227;448
229;452
231;455
233;460
235;463
237;467
239;470
241;476
243;479
245;483
247;486
249;491
251;494
253;498
255;501
257;511
259;514
261;518
263;521
265;526
267;529
269;533
271;536
273;542
275;545
277;549
279;552
281;557
283;560
285;564
287;567
289;574
291;577
293;581
295;584
297;589
299;592
301;596
303;599
305;605
307;608
309;612
311;615
313;620
315;623
317;627
319;630
321;638
323;641
325;645
327;648
329;653
331;656
333;660
335;663
337;669
339;672
341;676
343;679
345;684
347;687
349;691
351;694
353;701
355;704
357;708
359;711
361;716
363;719
365;723
367;726
369;732
371;735
373;739
375;742
377;747
379;750
381;754
383;757
385;766
387;769
389;773
391;776
393;781
395;784
397;788
399;791
401;797
403;800
405;804
407;807
409;812
411;815
413;819
415;822
417;829
419;832
421;836
423;839
425;844
427;847
429;851
431;854
433;860
435;863
437;867
439;870
441;875
443;878
445;882
447;885
449;893
451;896
453;900
455;903
457;908
459;911
461;915
463;918
465;924
467;927
469;931
471;934
473;939
475;942
477;946
479;949
481;956
483;959
485;963
487;966
489;971
491;974
493;978
495;981
497;987
499;990
501;994
503;997
505;1002
507;1005
509;1009
511;1012
513;1023
515;1026
517;1030
519;1033
521;1038
523;1041
525;1045
527;1048
529;1054
531;1057
533;1061
535;1064
537;1069
539;1072
541;1076
543;1079
545;1086
547;1089
549;1093
551;1096
553;1101
555;1104
557;1108
559;1111
561;1117
563;1120
565;1124
567;1127
569;1132
571;1135
573;1139
575;1142
577;1150
579;1153
581;1157
583;1160
585;1165
587;1168
589;1172
591;1175
593;1181
595;1184
597;1188
599;1191
601;1196
603;1199
605;1203
607;1206
609;1213
611;1216
613;1220
615;1223
617;1228
619;1231
621;1235
623;1238
625;1244
627;1247
629;1251
631;1254
m = 2 mod 4;
2;1
6;0
10;5
14;8
18;9
22;12
26;16
30;14
34;20
38;23
42;24
46;27
50;32
54;30
58;36
62;39
66;40
70;43
74;47
78;43
82;51
86;54
90;55
94;58
98;64
102;61
106;68
110;71
114;72
118;75
122;79
126;77
130;83
134;86
138;87
142;90
146;95
150;93
154;99
158;102
162;103
166;106
170;110
174;107
178;114
182;117
186;118
190;121
194;128
198;124
202;132
206;135
210;136
214;139
218;143
222;141
226;147
230;150
234;151
238;154
242;159
246;157
250;163
254;166
258;167
262;170
266;174
270;168
274;178
278;181
282;182
286;185
290;191
294;188
298;195
302;198
306;199
310;202
314;206
318;204
322;210
326;213
330;214
334;217
338;222
342;220
346;226
350;229
354;230
358;233
362;237
366;234
370;241
374;244
378;245
382;248
386;256
390;251
394;260
398;263
402;264
406;267
410;271
414;269
418;275
422;278
426;279
430;282
434;287
438;285
442;291
446;294
450;295
454;298
458;302
462;298
466;306
470;309
474;310
478;313
482;319
486;316
490;323
494;326
498;327
502;330
506;334
510;332
514;338
518;341
522;342
526;345
530;350
534;348
538;354
542;357
546;358
550;361
554;365
558;362
562;369
566;372
570;373
574;376
578;383
582;379
586;387
590;390
594;391
598;394
602;398
606;396
610;402
614;405
618;406
622;409
626;414
630;412
m = 4 mod 8;
4;2
12;0
20;0
28;0
36;10
44;10
52;13
60;17
68;18
76;19
84;19
92;25
100;25
108;28
116;33
124;31
132;34
140;35
148;41
156;40
164;44
172;48
180;49
188;50
196;50
204;56
212;53
220;59
228;65
236;63
244;62
252;66
260;73
268;73
276;76
284;80
292;81
300;82
308;82
316;88
324;88
332;91
340;96
348;93
356;97
364;98
372;104
380;98
388;107
396;111
404;112
412;113
420;113
428;119
436;118
444;122
452;129
460;126
468;127
476;129
484;137
492;137
500;140
508;144
516;145
524;146
532;146
540;152
548;152
556;155
564;160
572;158
580;161
588;162
596;168
604;167
612;171
620;175
628;176
m = 8 mod 16;
8;3
24;0
40;0
56;0
72;0
88;0
104;0
120;0
136;19
152;20
168;21
184;24
200;26
216;18
232;29
248;34
264;35
280;36
296;34
312;34
328;38
344;42
360;43
376;50
392;51
408;52
424;55
440;57
456;57
472;60
488;66
504;64
520;67
536;67
552;70
568;72
584;73
600;75
616;82
m = 16 mod 32;
16;4
48;0
80;0
112;0
144;0
176;0
208;0
240;0
272;0
304;0
336;0
368;0
400;0
432;0
464;0
496;0
528;36
560;37
592;37
